date,spx,dji,ixic,rut
1997-01-02,737.01,6442.4902,1280.7,358.96
1997-01-03,748.03,6544.0898,1310.6801,361.85
1997-01-06,747.65,6567.1802,1316.4,362.31
1997-01-07,753.23,6600.6602,1327.73,364.16
1997-01-08,748.41,6549.48,1320.35,364.17
1997-01-09,754.85,6625.6699,1326.2,365.59
1997-01-10,759.5,6703.79,1332.02,366.09
1997-01-13,759.51,6709.1802,1330.91,365.85
1997-01-14,768.86,6762.29,1346.36,367.52
1997-01-15,767.2,6726.8799,1333.53,367.19
1997-01-16,769.75,6765.3701,1340.46,366.92
1997-01-17,776.17,6833.1001,1349.05,367.88
1997-01-20,776.7,6843.8701,1364.28,369.35
1997-01-21,782.72,6883.8999,1376.97,370.32
1997-01-22,786.23,6850.0298,1388.0601,370.65
1997-01-23,777.56,6755.75,1378.37,370.46
1997-01-24,770.52,6696.48,1363.83,368.14
1997-01-27,765.02,6660.6899,1352.8101,365.52
1997-01-28,765.02,6656.0801,1354.37,366.47
1997-01-29,772.5,6740.7402,1355.17,366.25
1997-01-30,784.17,6823.8599,1371.02,368.29
1997-01-31,786.16,6813.0898,1379.85,369.45
1997-02-03,786.73,6806.1602,1376.05,369.53
1997-02-04,789.26,6833.48,1373.75,368.32
1997-02-05,778.28,6746.8999,1348.4399,365.49
1997-02-06,780.15,6773.0601,1346.4,365.48
1997-02-07,789.56,6855.7998,1357.71,366.75
1997-02-10,785.43,6806.54,1335.34,364.15
1997-02-11,789.59,6858.1099,1331.51,362.75
1997-02-12,802.77,6961.6299,1358.96,365.4
1997-02-13,811.82,7022.4399,1370.8101,368.18
1997-02-14,808.48,6988.96,1367.1899,369.13
1997-02-18,816.29,7067.46,1365.79,370.05
1997-02-19,812.49,7020.1299,1365.58,370.17
1997-02-20,802.8,6927.3799,1347.4,367.56
1997-02-21,801.77,6931.6201,1334.3199,366.37
1997-02-24,810.28,7008.2002,1345.08,366.45
1997-02-25,812.03,7037.8301,1347.6899,366.79
1997-02-26,805.68,6983.1802,1340.55,363.85
1997-02-27,795.07,6925.0698,1312.66,361.15
1997-02-28,790.82,6877.7402,1309.0,360.05
1997-03-03,795.31,6918.9199,1311.1801,360.49
1997-03-04,790.95,6852.7202,1317.37,361.91
1997-03-05,801.99,6945.8501,1329.09,363.93
1997-03-06,798.56,6944.7002,1315.4301,363.8
1997-03-07,804.97,7000.8901,1311.8,365.46
1997-03-10,813.65,7079.3901,1322.72,367.09
1997-03-11,811.34,7085.1602,1316.76,367.87
1997-03-12,804.26,7039.3701,1304.13,364.4
1997-03-13,789.56,6878.8901,1293.28,360.06
1997-03-14,793.17,6935.46,1292.97,361.04
1997-03-17,795.71,6955.48,1279.4301,357.37
1997-03-18,789.66,6896.5601,1269.34,354.93
1997-03-19,785.77,6877.6802,1249.29,351.79
1997-03-20,782.65,6820.2798,1259.26,352.31
1997-03-21,784.1,6804.79,1254.0699,351.73
1997-03-24,790.89,6905.25,1242.64,349.48
1997-03-25,789.07,6876.1699,1248.0601,350.7
1997-03-26,790.5,6880.7002,1269.08,352.31
1997-03-27,773.88,6740.5898,1249.51,348.95
1997-03-31,757.12,6583.48,1221.7,342.56
1997-04-01,759.64,6611.0498,1216.9301,340.88
1997-04-02,750.11,6517.0,1201.0,337.79
1997-04-03,750.32,6477.3999,1213.76,336.38
1997-04-04,757.9,6526.1001,1236.73,340.84
1997-04-07,762.13,6555.8999,1251.35,344.91
1997-04-08,766.12,6609.2002,1257.37,345.97
1997-04-09,760.6,6563.7998,1249.4301,346.73
1997-04-10,758.34,6540.0498,1235.77,345.16
1997-04-11,737.65,6391.7002,1206.9,339.25
1997-04-14,743.73,6451.8999,1216.41,338.61
1997-04-15,754.72,6587.1602,1212.88,340.78
1997-04-16,763.53,6679.8701,1210.27,340.24
1997-04-17,761.77,6658.6001,1217.0699,340.43
1997-04-18,766.34,6703.3501,1222.5699,341.74
1997-04-21,760.37,6660.2002,1203.95,338.27
1997-04-22,774.61,6833.6001,1212.74,338.09
1997-04-23,773.64,6812.7002,1227.14,338.4
1997-04-24,771.18,6792.2998,1228.1,338.52
1997-04-25,765.37,6738.8999,1209.29,335.85
1997-04-28,772.96,6783.0,1217.03,336.1
1997-04-29,794.05,6962.0,1242.63,340.58
1997-04-30,801.34,7009.0,1260.76,343.0
1997-05-01,798.53,6976.5,1270.5,345.66
1997-05-02,812.97,7071.2002,1305.33,353.98
1997-05-05,830.29,7213.6802,1339.24,362.43
1997-05-06,827.76,7225.2998,1328.3,361.73
1997-05-07,815.62,7085.6499,1322.91,360.22
1997-05-08,820.26,7136.6001,1330.83,360.1
1997-05-09,824.78,7169.5,1335.05,361.42
1997-05-12,837.66,7292.7998,1344.1899,363.76
1997-05-13,833.13,7274.2002,1333.59,363.56
1997-05-14,836.04,7286.2002,1335.55,364.48
1997-05-15,841.88,7333.5,1353.58,365.91
1997-05-16,829.75,7194.7002,1340.73,365.28
1997-05-19,833.27,7228.8999,1341.24,366.57
1997-05-20,841.66,7303.5,1363.88,368.2
1997-05-21,839.35,7290.7002,1373.75,370.06
1997-05-22,835.66,7258.1001,1372.6,371.46
1997-05-23,847.03,7345.8999,1389.72,375.67
1997-05-27,849.71,7383.3999,1409.21,376.74
1997-05-28,847.21,7357.2002,1410.1801,377.79
1997-05-29,844.08,7330.2002,1403.04,378.43
1997-05-30,848.28,7331.0,1400.3199,380.76
1997-06-02,846.36,7289.3999,1404.79,383.52
1997-06-03,845.48,7312.1001,1384.91,383.28
1997-06-04,840.11,7269.7002,1379.67,382.67
1997-06-05,843.43,7305.2998,1390.05,384.99
1997-06-06,858.01,7435.7998,1404.84,387.14
1997-06-09,862.91,7478.5,1412.04,387.9
1997-06-10,865.27,7539.27,1401.6899,387.31
1997-06-11,869.57,7575.7998,1407.85,387.62
1997-06-12,883.46,7711.5,1411.3199,389.54
1997-06-13,893.27,7782.0,1423.03,392.07
1997-06-16,893.9,7772.1001,1431.95,392.2
1997-06-17,894.42,7760.7998,1443.11,392.55
1997-06-18,889.06,7718.7002,1432.4301,392.46
1997-06-19,897.99,7777.1001,1447.14,396.49
1997-06-20,898.7,7796.5,1447.1,393.6
1997-06-23,878.62,7604.2998,1434.3199,390.82
1997-06-24,896.34,7758.0601,1452.4301,393.3
1997-06-25,888.99,7690.0,1446.24,391.22
1997-06-26,883.68,7654.2998,1436.38,390.27
1997-06-27,887.3,7687.7002,1438.15,392.53
1997-06-30,885.14,7672.7998,1442.0699,396.37
1997-07-01,891.03,7722.2998,1438.25,394.13
1997-07-02,904.03,7795.3799,1455.61,394.72
1997-07-03,916.92,7895.7998,1467.61,396.17
1997-07-07,912.2,7858.5,1470.74,396.26
1997-07-08,918.75,7962.2998,1485.1,398.28
1997-07-09,907.54,7842.3999,1486.63,397.4
1997-07-10,913.78,7886.7998,1490.9301,399.15
1997-07-11,916.68,7921.7998,1502.62,402.26
1997-07-14,918.38,7923.0,1523.88,403.85
1997-07-15,925.76,7975.7002,1542.11,406.39
1997-07-16,936.59,8038.8999,1580.63,410.22
1997-07-17,931.61,8020.7998,1568.85,408.11
1997-07-18,915.3,7890.5,1547.99,405.89
1997-07-21,912.94,7906.7002,1536.23,403.44
1997-07-22,933.98,8061.6001,1563.86,406.16
1997-07-23,936.56,8088.3599,1567.65,407.64
1997-07-24,940.3,8116.8999,1569.13,408.19
1997-07-25,938.79,8113.3999,1569.58,408.54
1997-07-28,936.45,8121.1001,1563.53,408.68
1997-07-29,942.29,8174.5,1572.3199,409.88
1997-07-30,952.29,8254.9004,1588.05,413.44
1997-07-31,954.31,8222.5996,1593.8101,414.48
1997-08-01,947.14,8194.0,1594.33,414.21
1997-08-04,950.3,8198.5,1605.45,415.63
1997-08-05,952.37,8187.5,1621.53,418.32
1997-08-06,960.32,8259.2998,1630.4399,420.73
1997-08-07,951.19,8188.0,1624.1801,420.12
